codigo,fecha,lugar,titulo,resumen,imagen,descripcion,precio,tipo
,"2020-06-01","Gerona","Vista de Cadaqués","Vista de Cadaqués (Gerona) Julio 2020","https://juanolallarodriguez.com/images/plumillas/cadaques/vista.jpg",,"Plumilla"
1800286,"1997-02-01","Granada","Patio de los Arrayanes","Patio de los Arrayanes (Granada) Febrero 1997","https://juanolallarodriguez.com/images/plumillas/granada/patio_arrayanes.jpg","Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 16 x 23 cm. sobre papel guarro de 90gr. de 21 x 28,1 cm.",75,"Plumilla"
