id,titulo,tid,ruta,fecha,dimensiones,lienzo,gramaje,precio,imagen,miniatura,descripcion
453101,Ermita del Santo Cristo de la Humildad,160,plumillas/andalucia/almeria/alboloduy/ermita-santo-cristo-humildad,2014-01-06,"21,2 x 15","29,6 x 20,9",120 gr,,/images/plumillas/alboloduy/ermita-santo-cristo-humildad.jpg,/images/plumillas/alboloduy/ermita-santo-cristo-humildad.jpg,"Dibujo a plumilla original, firmado y fechado en 2014, de tamaño 21,2 x 15cm. sobre papel guarro de 120 gr. de 29,6  x 20,9cm."
453102,Vista parcial de Alboloduy,160,plumillas/andalucia/almeria/alboloduy/vista-parcial,2020-05-19,15 x 9,"19,4 x 14,8",90 gr,25,/images/plumillas/alboloduy/vista-parcial-alboloduy.jpg,/images/plumillas/alboloduy/vista-parcial-alboloduy.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 15 x 9 cm. sobre papel guarro de 90 gr. de 19,4 x 14,8 cm."
464801,Vista de San Juan de los Terreros,154,plumillas/andalucia/almeria/pulpi/vista-san-juan-terreros,2020-08-02,26 x 12,"28,1 x 21",90 gr,75,/images/plumillas/san-juan-terreros/vista-san-juan-terreros.jpg,/images/plumillas/san-juan-terreros/vista-san-juan-terreros.jpg,"Dibujo a plumilla original, firmado y fechado en 2020, de tamaño 26 x 12 cm. sobre papel guarro de 90 gr. de 28,1x 21 cm."
483001,Castillo de Vélez Blanco,162,plumillas/andalucia/almeria/velez-blanco/castillo,2013-01-07,30 x 17,"41,9 x 29,6",160 gr,100,/images/plumillas/velez-blanco/castillo-velez-blanco.jpg,/images/plumillas/velez-blanco/castillo-velez-blanco.jpg,"Dibujo a plumilla original, firmado y fechado en 2013, de tamaño 30 x 17cm. sobre papel guarro de 160 gr. de 41,9 x 29,6 cm."
485701,Calle García López,163,plumillas/andalucia/almeria/albanchez/calle-garcia-lopez,2019-11-17,16 x 20,"21,2 x 28,3",160 gr,,/images/plumillas/albanchez/calle-garcia-lopez-albanchez.jpg,/images/plumillas/albanchez/calle-garcia-lopez-albanchez.jpg,"Dibujo a plumilla original, firmado y fechado en 2019, de tamaño 11x 17cm. sobre papel guarro de 160 gr. de 21,2x 28,3cm."
485702,Casa en Calle García López,163,plumillas/andalucia/almeria/albanchez/casa-calle-garcia-lopez,2019-11-24,14 x 22,"21,2 x 28,3",160 gr,,/images/plumillas/albanchez/casa-calle-garcia-lopez-albanchez.jpg,/images/plumillas/albanchez/casa-calle-garcia-lopez-albanchez.jpg,"Dibujo a plumilla original, firmado y fechado en 2019, de tamaño 18 x 24 cm. sobre papel guarro de 160 gr. de 20,9 x 29,6 cm."
500001,Murallas de Ávila,82,plumillas/castilla-leon/avila/avila/murallas,2006-01-21,"16,5 x 15","29,6 x 20,9",160 gr,50,/images/plumillas/avila/murallas-avila.jpg,/images/plumillas/avila/murallas-avila.jpg,"Dibujo a plumilla original, firmado y fechado en 2006, de tamaño 16,5x 15 cm. sobre papel guarro de 160 gr. de 29,6 x 20,9 cm."
700001,Torre del Homenaje del Castillo de Bellver,52,plumillas/baleares/mallorca/palma/torre-homenaje,2013-01-13,9 x 14,"12,6 x 20",120 gr,25,/images/plumillas/palma-mallorca/torre-homenaje.jpg,/images/plumillas/palma-mallorca/torre-homenaje.jpg,"Dibujo a plumilla original, firmado y fechado en 2013 de tamaño 9 x 14 cm. sobre papel guarro de 120 gr. de 12,6 x 20 cm."
719101,Torre de las ánimas,53,plumillas/baleares/mallorca/banyalbufar/torre-animas,2013-01-24,12 x 15,15 x 21,120 gr,25,/images/plumillas/banyalbufar/torre-animas.jpg,/images/plumillas/banyalbufar/torre-animas.jpg,"Dibujo a plumilla original, firmado y fechado en 2013, de tamaño 12 x 15 cm. sobre papel guarro de 120 gr. de 15 x 21 cm."
780001,Santo Domingo y Catedral,55,plumillas/baleares/ibiza/ibiza/santo-domingo-catedral,2013-02-24,15 x 17,"21,9 x 23,7",160 gr,50,/images/plumillas/ibiza/catedral-ibiza.jpg,/images/plumillas/ibiza/catedral-ibiza.jpg,"Dibujo a plumilla original, firmado y fechado en 2013, de tamaño 15 x 17 cm. sobre papel guarro de 160 gr. de 21,9 x 23,7 cm."
